,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Outcome
Luther College,1,1549,1392,587,38,72,2269,85,13240,3560,600,400,73,85,13.8,38,8949,high
East Texas Baptist University,1,379,341,265,10,36,1050,151,4950,2780,530,1500,62,62,15.7,7,5619,low
Oklahoma Baptist University,1,758,681,484,35,59,1707,705,5390,3140,515,1290,63,71,15.1,18,5511,low
Stonehill College,1,3646,2300,585,25,69,2022,926,12170,6172,480,800,79,79,13.0,30,7495,high
University of Southern Mississippi,0,2850,2044,1046,20,50,9260,1387,4652,2470,500,500,78,99,18.7,23,5917,low
Marymount University,1,941,772,214,10,30,1247,776,11390,5280,500,750,77,82,10.6,17,8575,low
University of Texas at San Antonio,0,4217,3100,1686,17,46,9375,5457,4104,5376,452,1200,94,100,25.3,3,4329,low
Morehouse College,1,3708,1678,722,41,66,2852,153,7050,5490,250,600,71,74,17.8,10,8122,high
Gordon College,1,674,565,282,25,54,1151,39,12200,4070,400,1200,73,82,14.2,32,9226,high
Texas Wesleyan University,1,592,501,279,19,44,1204,392,6400,3484,600,1800,80,83,14.5,10,7936,low
Defiance College,1,571,461,174,10,26,645,283,10850,3670,400,1159,58,60,12.8,19,7505,low
West Liberty State College,0,1164,1062,478,12,25,2138,227,4470,2890,600,1210,33,33,16.3,10,4249,low
Southwestern Adventist College,1,321,318,172,11,27,620,280,7536,3736,430,1651,44,77,13.0,12,5309,low
Eckerd College,1,1422,1109,366,33,65,1363,23,15360,4080,600,1000,82,89,12.8,26,15003,low
Salisbury State University,0,4216,2290,736,20,52,4296,1027,5130,4690,600,1450,73,75,17.9,18,5125,low
University of Minnesota at Duluth,0,4192,3126,1656,15,45,5887,1254,8828,3474,753,2610,79,91,19.0,11,6393,low
Point Park College,1,875,744,207,7,38,1173,1402,9700,4830,400,1200,45,90,14.5,10,7652,high
Grand Valley State University,0,5165,3887,1561,20,60,8234,2619,6108,3800,500,1000,64,66,20.6,9,5063,low
Westminster College MO,1,662,553,184,20,43,665,37,10720,4050,600,1650,66,70,12.5,20,7925,low
Elms College,1,245,208,125,23,46,544,436,11800,4765,450,1700,71,71,11.3,21,8952,high
North Central College,1,1127,884,308,30,64,1310,766,11718,7398,450,1800,73,87,16.4,33,8871,high
Rollins College,1,1777,1151,382,31,55,1668,1052,16425,5220,955,750,81,85,13.3,23,11561,high
Point Loma Nazarene College,1,809,687,428,20,43,1889,217,10178,4190,800,750,71,71,16.1,19,7895,low
Bethel College,1,502,384,104,11,28,347,74,6200,2900,600,800,63,63,11.7,13,7623,low
Ursinus College,1,1399,1026,308,44,77,1131,17,14900,5160,500,800,82,85,11.6,40,12082,high
Pacific Union College,1,940,668,385,20,48,1316,139,11925,3825,630,1926,48,87,12.3,12,9157,high
Louisiana State University at Baton Rouge,0,5996,4993,3079,29,57,16269,3757,5925,2980,600,2242,83,87,15.9,11,6741,low
University of South Carolina at Columbia,0,7693,5815,2328,30,66,12594,3661,8074,3522,495,2941,84,88,16.9,18,8246,low
Transylvania University,1,759,729,244,57,81,867,51,10900,4450,500,1000,81,91,12.1,41,10219,high
West Virginia Wesleyan College,1,1566,1400,483,28,55,1509,170,14200,3775,450,1100,58,81,16.4,42,8080,high
Michigan Technological University,0,2618,2288,1032,42,77,5524,414,8127,3978,900,1200,82,82,17.0,25,7473,low
Furman University,1,2161,1951,685,56,82,2371,175,13440,4048,600,1250,92,95,13.5,28,12940,high
Rhodes College,1,2302,1831,391,58,82,1345,59,15200,4768,550,1500,90,96,10.8,47,13388,high
University of Minnesota at Morris,0,1458,874,588,56,86,1846,154,9843,3180,600,1500,74,78,14.6,16,6716,low
Dickinson State University,0,434,412,319,10,30,1376,237,4486,2146,600,2000,50,64,16.5,28,4525,low
Agnes Scott College,1,417,349,137,60,89,510,63,12960,5450,450,875,92,97,7.7,37,19016,low
Saint Louis University,1,3294,2855,956,44,67,4576,1140,11690,4730,800,6800,84,94,4.6,19,18367,high
Christian Brothers University,1,880,520,224,16,42,1068,364,9300,3260,600,900,81,81,11.1,24,8129,low
Hope College,1,1712,1483,624,37,69,2505,208,12275,4341,465,1100,72,81,12.5,40,9284,high
Elon College,1,3624,2786,858,11,39,2933,334,9100,3883,490,1777,70,74,18.9,34,6329,low
Kansas State University,0,5880,4075,2833,25,55,14914,2246,6995,3120,600,2000,76,86,18.5,22,6122,low
SUNY College at Plattsburgh,0,5549,3583,853,9,40,5004,475,6550,4176,600,1380,80,90,17.9,16,6174,low
California Lutheran University,1,563,247,247,23,52,1427,432,12950,5300,612,576,72,74,12.4,17,8985,low
Prairie View A. and M. University,0,2405,2234,1061,10,22,4564,448,4290,3500,598,1582,55,93,19.4,1,5967,low
Catholic University of America,1,1754,1465,505,24,49,2159,211,13712,6408,526,1100,90,96,9.3,18,12751,high
Ouachita Baptist University,1,910,773,450,31,73,1310,61,6530,2800,500,1500,63,67,13.3,10,6413,low
Webster University,1,665,462,226,17,44,1739,1550,9160,4340,500,500,68,68,20.6,14,6951,low
Winthrop University,0,2320,1805,769,24,61,3395,670,6400,3392,580,2150,71,80,12.8,26,6729,low
Clinch Valley Coll. of  the Univ. of Virginia,0,689,561,250,15,30,1125,422,7168,3689,600,1900,67,67,18.1,9,4417,low
Wagner College,1,1416,1015,417,10,44,1324,117,13500,5800,585,1700,67,78,13.2,23,9006,high
John Brown University,1,605,405,284,24,53,961,99,6398,3672,400,1350,68,68,13.3,19,8118,high
Bowdoin College,1,3356,1019,418,76,100,1490,8,19030,5885,1495,875,93,96,11.2,52,20447,high
Worcester State College,0,2197,1515,543,4,26,3089,2029,6797,3900,500,1200,60,60,21.0,14,4469,low
Occidental College,1,2324,1319,370,52,81,1686,35,16560,5140,558,1152,91,93,10.5,30,16196,high
Barnard College,1,2496,1402,531,53,95,2121,69,17926,8124,600,850,83,93,10.3,33,12580,high
Fordham University,1,4200,2874,942,30,55,4740,1646,14235,6965,600,1735,86,97,14.4,14,10864,high
Pacific Lutheran University,1,1603,1392,504,31,68,2580,302,13312,4488,600,1516,78,78,11.0,23,9431,high
Houghton College,1,949,786,302,30,70,1210,26,9990,3550,500,1500,85,90,15.0,24,8187,high
University of Maine at Presque Isle,0,461,381,235,10,40,974,503,6600,3630,400,1675,67,67,15.2,11,6408,low
Lambuth University,1,831,538,224,15,35,840,325,5170,3430,600,1590,61,61,16.1,10,5531,low
University of Arkansas at Fayetteville,0,3235,3108,2133,25,65,9978,1530,5028,3300,500,2000,73,89,14.8,10,6820,low
Saint Ambrose University,1,897,718,276,12,48,1345,390,10450,4020,500,1500,56,56,14.1,16,7444,high
Loyola University Chicago,1,3579,2959,868,25,55,5244,3417,11500,5330,700,2000,94,95,6.2,15,13009,low
Sioux Falls College,1,437,400,211,13,35,614,271,8990,3064,500,1700,73,73,14.8,7,7881,low
Merrimack College,1,1981,1541,514,18,36,1927,1084,12500,6200,375,1000,73,75,16.8,22,8707,high
Bethany College,1,878,816,200,16,41,706,62,8740,3363,550,1700,62,68,11.6,29,7718,low
Siena Heights College,1,464,419,183,10,31,686,287,9240,3880,475,1090,29,49,7.2,17,9431,low
Kansas Wesleyan University,1,589,575,148,16,40,474,258,8400,3250,500,1400,63,55,12.4,14,6535,high
Missouri Valley College,1,1310,983,316,5,35,1057,175,8550,5050,400,900,35,67,17.4,16,4333,low
Huntington College,1,450,430,125,20,46,488,43,9950,3920,300,1300,76,76,11.8,25,9466,low
Syracuse University,1,10477,7260,2442,28,67,10142,117,15150,6870,635,960,73,84,11.3,13,14231,high
Concordia University,1,528,403,186,22,56,1168,145,9216,4191,400,1000,56,64,12.1,13,7309,high
Trinity College CT,1,3058,1798,478,46,84,1737,244,18810,5690,500,680,91,96,10.4,48,18034,high
University of Mobile,1,452,331,269,17,54,1417,301,6150,3680,550,1200,59,63,16.6,4,5412,low
Adelphi University,1,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29,30,12.2,16,10527,low
Grinnell College,1,2039,1389,432,56,91,1333,30,15688,4618,400,400,88,92,9.5,54,18979,high
Baker University,1,602,483,206,21,47,958,466,8620,4100,400,2250,58,68,11.0,21,6136,low
University of New England,1,1209,750,265,19,54,820,159,11450,5045,900,2500,72,75,11.4,13,9718,low
Otterbein College,1,1496,1205,428,26,57,1648,936,12888,4440,420,840,62,68,13.9,30,8802,high
Hampden - Sydney College,1,817,644,307,20,40,945,1,13218,4773,660,600,95,97,13.3,53,12263,high
St. Bonaventure University,1,1489,1313,375,13,45,1688,131,10456,4927,500,1050,91,91,17.7,32,9828,high
Southwest Missouri State University,0,6118,5254,3204,15,37,13131,3374,4740,2590,500,1360,70,75,19.9,11,4632,low
Franklin College,1,804,632,281,29,72,840,68,10390,4040,525,1345,54,78,12.5,37,11751,low
Eastern Connecticut State University,0,2172,1493,564,14,50,2766,1531,5962,4316,650,500,71,76,16.9,14,5719,low
Albion College,1,1899,1720,489,37,68,1594,32,13868,4826,450,850,89,100,13.7,37,11487,high
Pitzer College,1,1133,630,220,37,73,750,30,17688,5900,650,850,100,100,10.4,11,14820,high
University of Rhode Island,0,9643,7751,1968,12,40,8894,2456,10330,5558,500,1250,84,89,16.6,7,9158,low
Waynesburg College,1,1190,978,324,12,30,1280,61,8840,3620,500,1200,57,58,16.2,26,6563,low
University of Illinois at Chicago,0,8384,5727,2710,22,50,13518,2916,7230,5088,630,3228,82,84,10.0,6,13883,low
Wofford College,1,1501,935,273,51,83,1059,34,12680,4150,605,1440,91,92,15.3,42,7875,high
University of Oregon,0,8631,6732,2546,25,61,11669,1605,10602,3660,570,1530,79,87,19.7,13,8020,low
Hofstra University,1,7428,5860,1349,25,63,6534,1350,11600,5920,1000,1000,81,90,13.9,10,10093,low
Manchester College,1,1004,802,239,23,63,909,51,10440,3850,525,1450,63,72,11.8,20,7940,low
Immaculata College,1,268,253,103,16,44,494,1305,10000,5364,500,1000,56,64,11.2,33,7305,high
Clemson University,0,8065,5257,2301,37,65,11755,770,8116,3610,800,1618,82,88,18.0,17,7597,high
University of Southern Indiana,0,2379,2133,1292,8,25,4283,2973,4973,3192,500,1425,56,65,22.0,21,4078,low
Virginia State University,0,2996,2440,704,2,30,3006,338,5587,4845,500,600,61,63,16.0,11,5733,low
MidAmerica Nazarene College,1,331,331,225,15,36,1100,166,6840,3720,1100,4913,33,33,15.4,20,5524,low
Guilford College,1,1202,1054,326,18,44,1410,299,13404,5160,450,1050,78,86,15.6,30,9114,low
Saint Michael's College,1,1910,1380,463,16,64,1715,106,13030,5860,500,750,79,88,14.5,34,10190,high
St. Thomas Aquinas College,1,861,609,215,10,27,1117,815,8650,5700,500,1750,69,73,16.1,13,6534,high
Georgia Institute of Technology,0,7837,4527,2276,89,99,8528,654,6489,4438,795,1164,92,92,19.3,33,11271,high
Arizona State University Main campus,0,12809,10308,3761,24,49,22593,7585,7434,4850,700,2100,88,93,18.9,5,4602,low
Central Missouri State University,0,4681,4101,1436,10,35,8094,1596,4620,3288,300,2250,69,80,19.7,4,5501,low
Sacred Heart University,1,2307,1896,509,19,51,1707,1889,11070,5780,400,600,71,73,14.8,16,7120,high
Lebanon Valley College,1,1386,1060,320,28,56,965,502,13850,4755,400,1125,84,84,12.3,30,8196,high
Marquette University,1,5152,4600,1685,36,71,7016,804,11610,4760,600,1950,86,94,13.5,25,9982,high
Augustana College IL,1,1879,1658,497,36,69,1950,38,13353,4173,540,821,78,83,12.7,40,9220,high
Carnegie Mellon University,1,8728,5201,1191,60,89,4265,291,17900,5690,450,1250,86,93,9.2,31,24386,high
Cedar Crest College,1,776,607,198,25,58,791,764,14340,5285,500,1000,58,83,11.7,39,10961,high
University of Sci. and Arts of Oklahoma,0,285,280,208,21,43,1140,473,3687,1920,600,1800,67,77,23.6,3,3864,low
Randolph-Macon Woman's College,1,696,616,169,35,66,653,56,13970,6110,370,920,88,97,9.2,24,16358,high
Tri-State University,1,1262,1102,276,14,40,978,98,9456,4350,468,1323,53,53,12.8,24,7603,low
South Dakota State University,0,2807,2589,1701,13,37,7000,1103,3811,2190,500,1970,62,65,15.0,29,5084,high
Roger Williams University,1,3304,2804,679,10,20,2111,1489,12520,6050,500,730,44,54,16.4,8,7957,low
Westminster College PA,1,1738,1373,417,21,55,1335,30,18460,5970,700,850,92,96,13.2,41,22704,high
Capital University,1,1747,1382,449,34,66,1662,960,13050,4000,500,800,64,69,12.1,27,9557,high
La Roche College,1,361,321,185,10,41,650,819,8842,4782,600,1100,57,73,14.2,14,7022,low
Loyola Marymount University,1,3768,2662,753,42,64,3558,436,13592,5916,545,1328,84,88,14.2,10,11677,high
College of Santa Fe,1,546,447,189,16,42,873,683,11138,4138,600,1200,40,74,14.0,7,8820,high
LaGrange College,1,544,399,177,15,35,600,363,6987,3585,750,1500,77,83,12.5,12,9067,high
Brown University,1,12586,3239,1462,87,95,5643,349,19528,5926,720,1100,99,100,7.6,39,20440,high
North Carolina A. & T. State University,0,4809,3089,1429,12,33,6162,871,6806,1780,600,1651,72,72,16.7,9,7090,low
Freed-Hardeman University,1,895,548,314,20,54,1174,50,5500,3340,600,1600,68,76,16.1,13,6078,low
Wentworth Institute of Technology,1,1480,1257,452,6,25,2961,572,9850,6050,850,920,10,68,15.4,8,17858,low
Coe College,1,1006,742,275,29,60,1127,205,13925,4390,500,2200,73,86,12.7,32,10141,high
Mercer University,1,2286,1668,564,37,70,2943,1260,11985,4081,400,1500,93,95,9.2,15,8995,high
Wake Forest University,1,5661,2392,903,75,88,3499,172,13850,4360,500,1250,95,97,4.3,37,41766,high
Florida Institute of Technology,1,1947,1580,523,39,74,1863,233,13900,4140,750,1500,90,90,10.6,7,8923,low
New York University,1,13594,7244,2505,70,86,12408,2814,17748,7262,450,1000,87,98,7.8,16,21227,high
University of Denver,1,2974,2001,580,29,60,2666,554,15192,4695,400,1350,84,91,15.9,21,11762,high
Simpson College,1,1016,872,300,27,57,1116,602,11250,4980,550,1400,66,73,15.8,36,7411,high
Saint Joseph's University,1,2519,2003,776,39,71,2473,1314,12750,6350,350,1690,84,90,17.4,13,8243,high
Lindenwood College,1,810,484,356,6,33,2155,191,9200,4800,1000,4200,65,85,24.1,9,3480,high
University of North Dakota,0,2777,2249,1652,20,54,8334,1435,5634,2703,450,1200,97,97,15.9,16,9424,low
University of Wisconsin-Stout,0,2593,1966,1030,9,32,6038,579,6704,2592,376,1750,78,78,21.0,17,6254,low
Hobart and William Smith Colleges,1,2688,2081,500,25,53,1792,5,19029,5841,600,600,99,99,12.1,37,13040,high
Emory & Henry College,1,765,646,226,30,60,809,32,8578,4408,700,1600,79,88,13.9,51,8061,high
Alderson-Broaddus College,1,582,498,172,21,44,799,78,10468,3380,660,1800,40,41,11.5,15,8991,low
Sweet Briar College,1,462,402,146,36,68,527,41,14500,6000,500,600,91,99,6.5,48,18953,low
University of Scranton,1,4471,2942,910,29,60,3674,493,11584,5986,650,800,83,83,14.1,41,9131,high
Jersey City State College,0,2957,1423,691,10,30,3817,1394,3946,4800,400,1500,63,67,14.9,10,8367,low
Loyola College,1,4076,3137,738,25,54,3010,184,12990,6300,600,900,86,88,14.7,27,9448,high
Albertus Magnus College,1,353,340,103,17,45,416,230,13290,5720,500,1500,90,93,11.5,26,8861,low
Baylor University,1,6075,5349,2367,34,66,9919,484,6450,3920,600,1346,71,76,18.5,38,7503,high
Beaver College,1,1163,850,348,23,56,878,519,12850,5400,400,800,78,89,12.2,30,8954,high
Brenau University,1,367,274,158,12,41,917,479,9592,5879,500,700,71,80,13.7,12,5935,low
Briar Cliff College,1,392,351,155,16,44,738,430,10260,3597,600,1500,39,66,13.1,26,8355,low
Calvin College,1,1784,1512,913,29,56,3401,136,10230,3710,400,1210,75,81,14.8,41,7786,high
Centre College,1,1013,888,288,55,82,943,7,11850,4270,600,900,95,99,11.4,60,13118,high
Coker College,1,604,452,295,15,47,690,222,9888,4502,400,1000,64,77,12.1,39,8741,high
Colorado College,1,3207,1577,490,56,87,1892,7,17142,4190,450,1200,85,97,11.3,51,14664,high
Converse College,1,440,407,149,35,70,643,80,12050,3700,500,900,63,76,10.2,31,10965,high
Dowling College,1,1011,829,410,9,33,1059,2458,9000,3100,450,1413,77,78,12.4,7,11178,low
Drake University,1,2799,2573,839,34,65,3322,726,13420,4770,560,1675,88,93,15.0,24,9473,high
Eastern College,1,458,369,165,16,42,1057,355,11190,4800,450,1230,60,60,13.6,22,8135,low
Embry Riddle Aeronautical University,1,3151,2584,958,14,40,4772,856,7800,3750,570,3020,37,43,16.5,4,12878,low
Fayetteville State University,0,1455,1064,452,1,16,2632,617,6806,2550,350,766,75,75,15.1,10,6972,low
Fresno Pacific College,1,346,274,146,51,87,704,63,9900,3670,630,1818,59,59,10.5,14,8095,low
Gannon University,1,2464,1908,678,24,57,2693,691,10970,4280,500,1380,47,51,13.3,18,7711,low
Goldey Beacom College,1,633,468,284,10,27,823,963,6120,2985,531,1830,25,25,27.6,4,6081,low
Greenville College,1,510,387,194,20,46,771,53,10310,4530,400,800,57,61,14.3,16,8222,low
Hollins College,1,602,498,215,26,58,795,74,13470,5515,500,850,78,91,11.1,48,13957,high
Huron University,1,600,197,124,3,9,392,69,7260,3090,600,1840,31,35,12.9,4,9249,low
La Salle University,1,2929,1834,622,20,56,2738,1662,12600,5610,450,3160,90,90,15.1,9,9084,high
Lake Forest College,1,979,638,271,31,70,968,20,16880,3970,920,1320,91,94,10.7,19,15687,high
Lander University,0,1166,1009,510,9,33,2074,341,4938,2987,528,1702,67,77,17.0,11,6119,low
Le Moyne College,1,1470,1199,425,21,76,1820,558,11040,4840,400,900,89,92,13.3,28,8118,high
Lyndon State College,0,535,502,223,6,20,959,150,7320,4640,500,600,48,65,12.6,15,7114,low
Meredith College,1,857,772,376,25,58,1721,470,6720,3250,450,1520,77,82,13.9,33,6881,high
Millikin University,1,1444,1261,456,29,62,1788,95,11910,4378,450,965,60,77,11.4,25,8149,high
Millsaps College,1,905,834,319,32,61,1073,179,11320,4402,550,1350,82,89,12.7,38,11218,low
Moravian College,1,1232,955,303,23,58,1241,485,14990,4730,550,1250,86,92,15.2,28,9566,high
Ramapo College of New Jersey,0,2088,957,362,6,29,2745,1938,4449,4860,600,1655,74,95,17.8,8,7333,low
Rockhurst College,1,935,858,345,22,50,1127,754,9490,4100,500,1500,60,79,10.7,21,7519,high
Saint Anselm College,1,2095,1553,514,15,40,1873,94,12950,5400,450,1120,70,82,14.5,29,6719,high
Salem-Teikyo University,1,489,384,120,23,52,700,45,10575,3952,400,620,46,24,13.0,9,8946,high
Santa Clara University,1,4019,2779,888,40,73,3891,128,13584,5928,630,1278,88,92,13.9,19,10872,high
Schreiner College,1,584,413,131,19,51,521,99,8955,5900,500,1488,51,56,11.8,23,8545,low
Seton Hall University,1,4576,3565,1000,16,36,4384,1530,12000,6484,650,1000,81,84,14.4,15,10080,low
Seton Hill College,1,936,794,197,24,56,752,210,11240,4180,350,2000,71,71,11.2,37,10065,high
Spelman College,1,3713,1237,443,47,83,1971,107,7000,5565,660,2400,73,80,12.5,18,9988,low
Spring Arbor College,1,372,362,181,15,32,1501,353,8600,3550,385,665,48,48,15.4,9,10938,low
St. John's College,1,323,278,122,31,51,393,4,16150,5450,275,800,63,72,7.2,26,15622,low
Stockton College of New Jersey,0,4019,1579,710,23,65,4365,765,3040,4351,711,1125,78,92,19.5,7,5599,low
SUNY at Stony Brook,0,12512,6969,1724,27,66,9744,1351,6550,4712,600,1200,91,96,10.5,7,13705,low
SUNY College  at Oswego,0,8000,4556,1464,17,70,6943,869,6550,4810,500,1500,69,85,22.0,21,5280,low
SUNY College at Cortland,0,7888,3519,1036,6,40,5011,346,6550,4680,630,1274,82,85,17.8,17,5563,low
Texas Christian University,1,4095,3079,1195,33,64,5064,660,8490,3320,650,2400,81,93,14.8,23,9158,low
University of Detroit Mercy,1,927,731,415,24,50,2149,2217,11130,3996,600,2166,72,79,13.5,14,10891,low
University of Florida,0,12445,8836,3623,54,85,24470,3286,7090,4180,630,1530,88,97,13.4,20,14737,high
University of New Hampshire,0,9750,7640,2529,24,62,10358,1338,11180,3862,650,2450,89,87,17.5,16,7855,high
University of South Florida,0,7589,4676,1876,29,63,14770,10962,6760,3776,500,2180,84,89,17.0,7,11020,low
Virginia Wesleyan College,1,1470,900,287,20,49,1130,417,10900,5100,500,550,70,81,15.7,14,7804,high
Washington University,1,7654,5259,1254,62,93,4879,1274,18350,5775,768,1512,91,98,3.9,31,45702,high
Wells College,1,318,240,130,40,85,416,19,14900,5550,600,500,93,98,8.3,42,13935,high
Western Michigan University,0,9167,7191,2738,24,53,15739,4278,6940,4100,500,1700,80,84,24.7,11,5983,low
Western State College of Colorado,0,2702,1623,604,7,24,2315,146,5918,3755,500,2050,76,79,19.4,4,4599,low
Widener University,1,2139,1492,502,24,64,2186,2171,12350,5370,500,1350,88,86,12.6,19,9603,low
Williams College,1,4186,1245,526,81,96,1988,29,19629,5790,500,1200,94,99,9.0,64,22014,high
